"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-08 08:04:53.667735 UTC to 1980-01-08 08:04:53.667735 UTC", ... , "2080-12-16 08:19:37.190832 UTC to 2080-12-16 08:19:37.190832 UTC"], items=1339"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1998-10-21 05:16:03.045564 UTC","2451107.7194796940 JD UTC"
"1998-11-17 06:24:32.485014 UTC","2451134.7670426510 JD UTC"
"1998-12-14 17:03:32.633207 UTC","2451162.2107943660 JD UTC"
"1999-01-11 11:40:33.668315 UTC","2451189.9865007910 JD UTC"
"1999-02-08 08:51:13.642084 UTC","2451217.8689078945 JD UTC"
"1999-03-08 05:08:11.942163 UTC","2451245.7140271080 JD UTC"
"1999-04-04 21:30:17.550479 UTC","2451273.3960364640 JD UTC"
"1999-05-02 06:13:43.144155 UTC","2451300.7595271314 JD UTC"
"1999-05-29 08:14:35.228568 UTC","2451327.8434632937 JD UTC"
"1999-06-25 15:30:27.864003 UTC","2451355.1461558333 JD UTC"
"1999-07-23 05:44:19.417981 UTC","2451382.7391136340 JD UTC"
"1999-08-19 23:25:58.101226 UTC","2451410.4763669125 JD UTC"
"1999-09-16 18:40:00.642890 UTC","2451438.2777852190 JD UTC"
"1999-10-14 13:48:50.546455 UTC","2451466.0755850286 JD UTC"
"1999-11-11 05:30:36.601674 UTC","2451493.7295902970 JD UTC"
"1999-12-08 11:02:54.439624 UTC","2451520.9603523104 JD UTC"
"2000-01-04 12:22:19.543036 UTC","2451548.0155039704 JD UTC"
"2000-02-01 01:19:26.533169 UTC","2451575.5551682080 JD UTC"
"2000-02-28 20:44:47.358611 UTC","2451603.3644370210 JD UTC"
"2000-03-27 17:19:38.580092 UTC","2451631.2219743067 JD UTC"
"2000-04-24 12:25:23.052137 UTC","2451659.0176279180 JD UTC"
"2000-05-22 03:57:14.565122 UTC","2451686.6647519110 JD UTC"
"2000-06-18 12:56:54.313416 UTC","2451714.0395175163 JD UTC"
"2000-07-15 15:32:35.609305 UTC","2451741.1476343670 JD UTC"
"2000-08-11 22:23:31.796560 UTC","2451768.4330069046 JD UTC"
"2000-09-08 12:35:01.191948 UTC","2451796.0243193510 JD UTC"
"2000-10-06 07:02:19.897991 UTC","2451823.7932858565 JD UTC"
"2000-11-03 03:29:57.086745 UTC","2451851.6457996150 JD UTC"
"2000-11-30 23:38:23.903689 UTC","2451879.4849988850 JD UTC"
"2000-12-28 15:04:48.515793 UTC","2451907.1283393030 JD UTC"
"2001-01-24 19:03:26.294090 UTC","2451934.2940543300 JD UTC"
"2001-02-20 21:38:20.587653 UTC","2451961.4016271720 JD UTC"
"2001-03-20 11:24:14.655454 UTC","2451988.9751696233 JD UTC"
"2001-04-17 06:05:08.104983 UTC","2452016.7535660300 JD UTC"
"2001-05-15 01:28:48.653235 UTC","2452044.5616742275 JD UTC"
"2001-06-11 19:46:55.742074 UTC","2452072.3242562740 JD UTC"
"2001-07-09 11:21:56.437961 UTC","2452099.9735698840 JD UTC"
"2001-08-05 21:04:12.615596 UTC","2452127.3779237918 JD UTC"
"2001-09-01 23:25:29.855140 UTC","2452154.4760399900 JD UTC"
"2001-09-29 05:32:30.557217 UTC","2452181.7309092270 JD UTC"
"2001-10-26 20:11:44.522269 UTC","2452209.3414875264 JD UTC"
"2001-11-23 15:45:18.110079 UTC","2452237.1564596070 JD UTC"
"2001-12-21 13:01:32.261342 UTC","2452265.0427345060 JD UTC"
"2002-01-18 08:48:49.548004 UTC","2452292.8672401390 JD UTC"
"2002-02-14 22:20:32.735182 UTC","2452320.4309344348 JD UTC"
"2002-03-14 01:08:50.525476 UTC","2452347.5478070080 JD UTC"
"2002-04-10 05:29:58.315656 UTC","2452374.7291471720 JD UTC"
"2002-05-07 19:13:49.478426 UTC","2452402.3012671110 JD UTC"
"2002-06-04 12:57:12.372199 UTC","2452430.0397265300 JD UTC"
"2002-07-02 07:34:40.177605 UTC","2452457.8157427963 JD UTC"
"2002-07-30 01:43:20.293690 UTC","2452485.5717626587 JD UTC"
"2002-08-26 17:41:10.310255 UTC","2452513.2369248870 JD UTC"
"2002-09-23 03:25:39.363707 UTC","2452540.6428167094 JD UTC"
"2002-10-20 04:39:47.625716 UTC","2452567.6943012234 JD UTC"
"2002-11-16 11:29:49.601438 UTC","2452594.9790463130 JD UTC"
"2002-12-14 03:56:26.650743 UTC","2452622.6641973467 JD UTC"
"2003-01-11 00:42:32.451904 UTC","2452650.5295422673 JD UTC"
"2003-02-07 21:57:53.819877 UTC","2452678.4152062484 JD UTC"
"2003-03-07 16:32:23.715826 UTC","2452706.1891633775 JD UTC"
"2003-04-04 04:29:27.306289 UTC","2452733.6871216004 JD UTC"
"2003-05-01 07:38:15.056450 UTC","2452760.8182298200 JD UTC"
"2003-05-28 13:04:45.246839 UTC","2452788.0449681347 JD UTC"
"2003-06-25 02:23:39.314959 UTC","2452815.5997605897 JD UTC"
"2003-07-22 19:36:47.591079 UTC","2452843.3172174892 JD UTC"
"2003-08-19 14:22:12.532036 UTC","2452871.0987561580 JD UTC"
"2003-09-16 09:22:04.732768 UTC","2452898.8903325554 JD UTC"
"2003-10-14 02:25:19.598505 UTC","2452926.6009212790 JD UTC"
"2003-11-10 12:04:21.963579 UTC","2452954.0030319860 JD UTC"
"2003-12-07 12:03:54.662082 UTC","2452981.0027159965 JD UTC"
"2004-01-03 20:17:17.426378 UTC","2453008.3453405830 JD UTC"
"2004-01-31 13:58:39.397212 UTC","2453036.0824004310 JD UTC"
"2004-02-28 10:43:55.354833 UTC","2453063.9471684587 JD UTC"
"2004-03-27 07:01:17.857092 UTC","2453091.7925677905 JD UTC"
"2004-04-24 00:25:16.317713 UTC","2453119.5175499734 JD UTC"
"2004-05-21 12:00:23.148034 UTC","2453147.0002679173 JD UTC"
"2004-06-17 16:01:13.751954 UTC","2453174.1675202770 JD UTC"
"2004-07-14 21:07:51.125576 UTC","2453201.3804528425 JD UTC"
"2004-08-11 09:33:30.399822 UTC","2453228.8982685166 JD UTC"
"2004-09-08 02:40:44.975242 UTC","2453256.6116316580 JD UTC"
"2004-10-05 22:09:38.499011 UTC","2453284.4233622570 JD UTC"
"2004-11-02 18:08:27.763670 UTC","2453312.2558768940 JD UTC"
"2004-11-30 11:23:35.580516 UTC","2453339.9747173670 JD UTC"
"2004-12-27 19:15:02.852788 UTC","2453367.3021163517 JD UTC"
"2005-01-23 18:53:01.735240 UTC","2453394.2868256390 JD UTC"
"2005-02-20 04:59:13.331842 UTC","2453421.7077931925 JD UTC"
"2005-03-19 22:53:19.809601 UTC","2453449.4537015000 JD UTC"
"2005-04-16 18:40:42.449475 UTC","2453477.2782690910 JD UTC"
"2005-05-14 13:41:00.700878 UTC","2453505.0701470007 JD UTC"
"2005-06-11 06:10:59.180427 UTC","2453532.7576294030 JD UTC"
"2005-07-08 17:39:12.282106 UTC","2453560.2355588210 JD UTC"
"2005-08-04 21:48:21.961254 UTC","2453587.4085875144 JD UTC"
"2005-09-01 02:34:37.206106 UTC","2453614.6073750705 JD UTC"
"2005-09-28 15:19:49.951761 UTC","2453642.1387725896 JD UTC"
"2005-10-26 09:33:31.037592 UTC","2453669.8982758980 JD UTC"
"2005-11-23 06:17:02.870724 UTC","2453697.7618387816 JD UTC"
"2005-12-21 02:49:12.202086 UTC","2453725.6175023390 JD UTC"
"2006-01-17 19:07:13.019033 UTC","2453753.2966784610 JD UTC"
"2006-02-14 00:46:33.441321 UTC","2453780.5323314970 JD UTC"
"2006-03-13 01:45:00.306957 UTC","2453807.5729202195 JD UTC"
"2006-04-09 13:17:15.847023 UTC","2453835.0536556370 JD UTC"
