"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-16 12:53:35.827291 UTC to 1980-01-16 12:53:35.827291 UTC", ... , "2080-12-12 02:02:34.751115 UTC to 2080-12-12 02:02:34.751115 UTC"], items=1350"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"2001-06-08 04:57:18.997301 UTC","2452068.7064698760 JD UTC"
"2001-07-05 12:11:34.434816 UTC","2452096.0080374400 JD UTC"
"2001-08-01 17:57:00.821641 UTC","2452123.2479261765 JD UTC"
"2001-08-28 23:07:56.399365 UTC","2452150.4638472150 JD UTC"
"2001-09-25 05:11:17.048360 UTC","2452177.7161695412 JD UTC"
"2001-10-22 13:05:56.231324 UTC","2452205.0457897144 JD UTC"
"2001-11-18 22:30:21.262192 UTC","2452232.4377460903 JD UTC"
"2001-12-16 07:49:01.197057 UTC","2452259.8257082994 JD UTC"
"2002-01-12 15:22:33.960593 UTC","2452287.1406708400 JD UTC"
"2002-02-08 20:52:48.058460 UTC","2452314.3700006767 JD UTC"
"2002-03-08 01:50:11.376768 UTC","2452341.5765205645 JD UTC"
"2002-04-04 08:17:34.023388 UTC","2452368.8455326780 JD UTC"
"2002-05-01 16:56:26.587013 UTC","2452396.2058632756 JD UTC"
"2002-05-29 02:42:02.446917 UTC","2452423.6125283210 JD UTC"
"2002-06-25 11:49:09.869140 UTC","2452450.9924753373 JD UTC"
"2002-07-22 19:05:16.104515 UTC","2452478.2953252840 JD UTC"
"2002-08-19 00:32:20.572979 UTC","2452505.5224603354 JD UTC"
"2002-09-15 05:30:57.627008 UTC","2452532.7298336457 JD UTC"
"2002-10-12 11:54:10.737427 UTC","2452559.9959576093 JD UTC"
"2002-11-08 20:42:26.501901 UTC","2452587.3628067350 JD UTC"
"2002-12-06 07:06:27.819131 UTC","2452614.7961553140 JD UTC"
"2003-01-02 16:58:02.521140 UTC","2452642.2069736244 JD UTC"
"2003-01-30 00:29:28.655760 UTC","2452669.5204705526 JD UTC"
"2003-02-26 05:47:39.946518 UTC","2452696.7414345660 JD UTC"
"2003-03-25 10:55:43.723224 UTC","2452723.9553671670 JD UTC"
"2003-04-21 17:59:30.677720 UTC","2452751.2496606220 JD UTC"
"2003-05-19 03:18:40.806206 UTC","2452778.6379722940 JD UTC"
"2003-06-15 13:32:54.689788 UTC","2452806.0645218724 JD UTC"
"2003-07-12 22:55:31.252089 UTC","2452833.4552228250 JD UTC"
"2003-08-09 06:18:25.213819 UTC","2452860.7627918264 JD UTC"
"2003-09-05 11:50:55.034531 UTC","2452887.9936925294 JD UTC"
"2003-10-02 17:04:10.235001 UTC","2452915.2112295716 JD UTC"
"2003-10-29 23:57:37.991421 UTC","2452942.4983563824 JD UTC"
"2003-11-26 09:23:27.163095 UTC","2452969.8912866097 JD UTC"
"2003-12-23 20:15:08.422434 UTC","2452997.3438474820 JD UTC"
"2004-01-20 06:15:58.332193 UTC","2453024.7610918080 JD UTC"
"2004-02-16 13:47:51.723963 UTC","2453052.0749042127 JD UTC"
"2004-03-14 19:15:40.789089 UTC","2453079.3025554293 JD UTC"
"2004-04-11 00:45:33.661143 UTC","2453106.5316395964 JD UTC"
"2004-05-08 08:07:25.612168 UTC","2453133.8384908815 JD UTC"
"2004-06-04 17:31:26.293147 UTC","2453161.2301654300 JD UTC"
"2004-07-02 03:44:58.503667 UTC","2453188.6562326810 JD UTC"
"2004-07-29 13:12:04.555213 UTC","2453216.0500527225 JD UTC"
"2004-08-25 20:46:25.524968 UTC","2453243.3655732055 JD UTC"
"2004-09-22 02:32:29.218288 UTC","2453270.6058937300 JD UTC"
"2004-10-19 07:58:23.271067 UTC","2453297.8322137855 JD UTC"
"2004-11-15 15:02:00.596027 UTC","2453325.1263957876 JD UTC"
"2004-12-13 00:30:59.029839 UTC","2453352.5215165490 JD UTC"
"2005-01-09 11:16:32.556127 UTC","2453379.9698212515 JD UTC"
"2005-02-05 21:08:10.332886 UTC","2453407.3806751490 JD UTC"
"2005-03-05 04:38:48.234194 UTC","2453434.6936138216 JD UTC"
"2005-04-01 10:16:03.463877 UTC","2453461.9278178690 JD UTC"
"2005-04-28 15:52:04.036732 UTC","2453489.1611578325 JD UTC"
"2005-05-25 23:02:08.296826 UTC","2453516.4598182505 JD UTC"
"2005-06-22 08:01:30.523430 UTC","2453543.8343810583 JD UTC"
"2005-07-19 17:54:50.743134 UTC","2453571.2464206380 JD UTC"
"2005-08-16 03:15:55.577150 UTC","2453598.6360599210 JD UTC"
